MCS,RNTIs_DL,mean_numDLTotal,mean_numDLnew,mean_numReTx_DL,mean_avgMCS_DL,mean_numULTotal,mean_numULnew,mean_numReTx_UL,mean_avgMCS_UL
1,1,270,187,83,1,304,247,57,1
1,2,270,187,83,1,304,247,57,1
1,3,270,187,83,1,304,247,57,1
1,4,270,187,83,1,304,247,57,1
1,5,270,187,83,1,304,247,57,1
2,1,270,187,83,2,304,247,57,2
2,2,270,187,83,2,304,247,57,2
2,3,270,187,83,2,304,247,57,2
2,4,270,187,83,2,304,247,57,2
2,5,270,187,83,2,304,247,57,2
3,1,270,187,83,3,304,247,57,3
3,2,270,187,83,3,304,247,57,3
3,3,270,187,83,3,304,247,57,3
3,4,270,187,83,3,304,247,57,3
3,5,270,187,83,3,304,247,57,3
4,1,270,187,83,4,304,247,57,4
4,2,270,187,83,4,304,247,57,4
4,3,270,187,83,4,304,247,57,4
4,4,270,187,83,4,304,247,57,4
4,5,270,187,83,4,304,247,57,4
5,1,270,187,83,5,304,247,57,5
5,2,270,187,83,5,304,247,57,5
5,3,270,187,83,5,304,247,57,5
5,4,270,187,83,5,304,247,57,5
5,5,270,187,83,5,304,247,57,5
6,1,270,187,83,6,304,247,57,6
6,2,270,187,83,6,304,247,57,6
6,3,270,187,83,6,304,247,57,6
6,4,270,187,83,6,304,247,57,6
6,5,270,187,83,6,304,247,57,6
7,1,270,187,83,7,304,247,57,7
7,2,270,187,83,7,304,247,57,7
7,3,270,187,83,7,304,247,57,7
7,4,270,187,83,7,304,247,57,7
7,5,270,187,83,7,304,247,57,7
8,1,270,187,83,8,304,247,57,8
8,2,270,187,83,8,304,247,57,8
8,3,270,187,83,8,304,247,57,8
8,4,270,187,83,8,304,247,57,8
8,5,270,187,83,8,304,247,57,8
9,1,270,187,83,9,304,247,57,9
9,2,270,187,83,9,304,247,57,9
9,3,270,187,83,9,304,247,57,9
9,4,270,187,83,9,304,247,57,9
9,5,270,187,83,9,304,247,57,9
10,1,270,187,83,10,304,247,57,10
10,2,270,187,83,10,304,247,57,10
10,3,270,187,83,10,304,247,57,10
10,4,270,187,83,10,304,247,57,10
10,5,270,187,83,10,304,247,57,10
11,1,270,187,83,11,304,247,57,11
11,2,270,187,83,11,304,247,57,11
11,3,270,187,83,11,304,247,57,11
11,4,270,187,83,11,304,247,57,11
11,5,270,187,83,11,304,247,57,11
12,1,270,187,83,12,304,247,57,12
12,2,270,187,83,12,304,247,57,12
12,3,270,187,83,12,304,247,57,12
12,4,270,187,83,12,304,247,57,12
12,5,270,187,83,12,304,247,57,12
13,1,270,187,83,13,304,247,57,13
13,2,270,187,83,13,304,247,57,13
13,3,270,187,83,13,304,247,57,13
13,4,270,187,83,13,304,247,57,13
13,5,270,187,83,13,304,247,57,13
14,1,270,187,83,14,304,247,57,14
14,2,270,187,83,14,304,247,57,14
14,3,270,187,83,14,304,247,57,14
14,4,270,187,83,14,304,247,57,14
14,5,270,187,83,14,304,247,57,14
15,1,270,187,83,15,304,247,57,15
15,2,270,187,83,15,304,247,57,15
15,3,270,187,83,15,304,247,57,15
15,4,270,187,83,15,304,247,57,15
15,5,270,187,83,15,304,247,57,15
16,1,270,187,83,16,304,247,57,16
16,2,270,187,83,16,304,247,57,16
16,3,270,187,83,16,304,247,57,16
16,4,270,187,83,16,304,247,57,16
16,5,270,187,83,16,304,247,57,16
17,1,270,187,83,17,304,247,57,17
17,2,270,187,83,17,304,247,57,17
17,3,270,187,83,17,304,247,57,17
17,4,270,187,83,17,304,247,57,17
17,5,270,187,83,17,304,247,57,17
18,1,270,187,83,18,304,247,57,18
18,2,270,187,83,18,304,247,57,18
18,3,270,187,83,18,304,247,57,18
18,4,270,187,83,18,304,247,57,18
18,5,270,187,83,18,304,247,57,18
19,1,270,187,83,19,304,247,57,19
19,2,270,187,83,19,304,247,57,19
19,3,270,187,83,19,304,247,57,19
19,4,270,187,83,19,304,247,57,19
19,5,270,187,83,19,304,247,57,19
20,1,270,187,83,20,304,247,57,20
20,2,270,187,83,20,304,247,57,20
20,3,270,187,83,20,304,247,57,20
20,4,270,187,83,20,304,247,57,20
20,5,270,187,83,20,304,247,57,20
21,1,270,187,83,21,304,247,57,21
21,2,270,187,83,21,304,247,57,21
21,3,270,187,83,21,304,247,57,21
21,4,270,187,83,21,304,247,57,21
21,5,270,187,83,21,304,247,57,21
22,1,270,187,83,22,304,247,57,22
22,2,270,187,83,22,304,247,57,22
22,3,270,187,83,22,304,247,57,22
22,4,270,187,83,22,304,247,57,22
22,5,270,187,83,22,304,247,57,22
23,1,270,187,83,23,304,247,57,23
23,2,270,187,83,23,304,247,57,23
23,3,270,187,83,23,304,247,57,23
23,4,270,187,83,23,304,247,57,23
23,5,270,187,83,23,304,247,57,23
24,1,270,187,83,24,304,247,57,24
24,2,270,187,83,24,304,247,57,24
24,3,270,187,83,24,304,247,57,24
24,4,270,187,83,24,304,247,57,24
24,5,270,187,83,24,304,247,57,24
25,1,270,187,83,25,304,247,57,25
25,2,270,187,83,25,304,247,57,25
25,3,270,187,83,25,304,247,57,25
25,4,270,187,83,25,304,247,57,25
25,5,270,187,83,25,304,247,57,25
26,1,270,187,83,26,304,247,57,26
26,2,270,187,83,26,304,247,57,26
26,3,270,187,83,26,304,247,57,26
26,4,270,187,83,26,304,247,57,26
26,5,270,187,83,26,304,247,57,26
27,1,270,187,83,27,304,247,57,27
27,2,270,187,83,27,304,247,57,27
27,3,270,187,83,27,304,247,57,27
27,4,270,187,83,27,304,247,57,27
27,5,270,187,83,27,304,247,57,27
